content_type,world_id,name,asset_path,world_type,reward_rotation_content_id,public_event_ids,public_event_objective_count,matching_game_map_ids,matching_game_type_ids,match_type_enums,achievement_category_ids,related_achievement_ids,script_paths,script_owner_ids,milestone_scope,milestone_scope_reason,implementation_status,evidence_status,completion_status,evidence_sources,manual_validation,blocker_summary
expedition,2183,Gauntlet,Map\ShiphandGauntlet,1,22,446,35,78;85;121,64;82;88,8;11;15,279,3718;4186;6011;6026,Source\NexusForever.Script.Instance\Expedition\Gauntlet\GauntletMapScript.cs,2183,milestone_target_instance,"Dungeon, expedition, raid, or World Story instance content is inside the restoration milestone, while retail completion still requires row-specific proof.",mapped_wip_scaffold,mapped_only_pending_manual_smoke,not_retail_complete,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/MatchingGame*.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_*_SMOKE_REVIEW.md;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,"Mapped/WIP expedition scaffold; Pilot Taboro 1821 plus Judge Kain 1914 / Agent Lex 1915 TalkTo objective producers, FindOutWhatHappened ScriptWithoutCount direct objective-id credit 1819, first-arena Frenzied Creature objective 1854, electric-room door lock 1837 TargetGroup 6831 activation credit, product endorsement 2001 TargetGroup 7038 activation credit, and Championator 1865 / Opposing Faction team 1835 / Rockstar Yeti 1864 / Voodoo Kin 1866 / Goon Squad 1869 / Handler-and-pets 1870 / Slice and Dice 1871 / Pyro Maniac 1872 / Showtime 1873 / Shock King 1874 / Brick Braggor 4671 death-credit producers are test-backed from build 16042 TargetGroup / Creature2 data. Survive-the-Main-Event 1875, Golden Skulls 1957, Survive-the-Splorg 1967, and Score Tokens 1974 are activation-only pending completion/score proof, while second/third-arena, current-score, score-token kill-count, and gold-timer rows are mapped-only with concrete missing producer/client-smoke blockers. Exact door visual/despawn state, product side effects, exact cinematic completion timing, Gauntlet announcer timing, arena-door choreography, second/main arena route selection and objective activation timing, encounter behavior, rewards, and manual expedition smoke remain blocked."
expedition,2188,Deep Space Exploration,Map\ShiphandDeepSpaceDisappearance,1,23,447,28,77;84;120,63;82;88,8;11;15,278,3717;4181;6010;6025,Source\NexusForever.Script.Instance\Expedition\DeepSpaceExploration\DeepSpaceExplorationMapScript.cs,2188,milestone_target_instance,"Dungeon, expedition, raid, or World Story instance content is inside the restoration milestone, while retail completion still requires row-specific proof.",mapped_wip_scaffold,mapped_only_pending_manual_smoke,not_retail_complete,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/MatchingGame*.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_*_SMOKE_REVIEW.md;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,"Mapped/WIP expedition scaffold; Deep Space Exploration now advances through the build 16042 Captain Tyrania 1844, crew checklist 1968, containment-cell 1845, mainframe-cortex 1849, and phase-647 Steel Serpent forces objectives. Residual rescue, Engineer Clamp, defense-control, maintenance-drone, bridge, engine-room, Ikthian-gun, and gold-timer rows are mapped-only with concrete blockers for missing later-route producers and client smoke. Later rescue, Engineer Clamp, mainframe, bridge route content, real cinematic payload, rewards, and manual expedition smoke remain blocked."
dungeon,2980,Ultimate Protogames,Map\InfiniteLabs,11,16,594,123,71;126,81;87,10;14,316,5864;5865;5866;5867;5868;5869;5870;5871;5872;5873;5874;5875;5876;5877;5878;5879;5880;5881;5882;5883;5884;5885;5886;5887;5888;5889;5890;5891;5892;5893;5894;5895;5896;5897;5898;5899;5900;5901;5902;5903;5904;5905;5906;5907;5908;5909;5910;5911;5912;5913;5914;5915;5916;5917;5918;5919;5920;5921;5922;5923;5924;5925;5926;5927;5928;5929;5930;5931;5932;5933;5934;5935;5936;5937;5938;5939;5940;5941;5942;5943;5944;5945;5946;5947;5948;5949;5950;5951;5952;5953;5954;5955;5956;5957;5958;5959;5960;5961;5962;5963;5964;5965;5966;5967;5968;5969;5970;5971;5972;5973;5974;5975;5976;5977;5978;5979;5980;5981;6001;6002;6003;6819;6875,Source\NexusForever.Script.Instance\Dungeon\UltimateProtogames\UltimateProtogamesMapScript.cs,2980,milestone_target_instance,"Dungeon, expedition, raid, or World Story instance content is inside the restoration milestone, while retail completion still requires row-specific proof.",mapped_wip_scaffold,mapped_only_pending_manual_smoke,not_retail_complete,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/MatchingGame*.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_*_SMOKE_REVIEW.md;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,"Mapped/WIP dungeon scaffold routes the Start Button objective 3250 into reviewed tank-room, Misplaced Mammoth, Prototentiary, Ruffles hunt, Power Plunge/Gilded Fowl, and Hut-Hut slices while full random-event selection remains blocked, with the build 16042/DataMapping-backed initiation button placement, phase activation, and one-shot credit now test-backed; Bev-O-Rage phase objective activation, Vend-A-Tron use objective activation/credit, boss death credit, Sneaky Prison Gate/Cage Console target-group activation credit, Prototentiary Gate Console 2847 alias placement bridge, Cage Console 2864, Prototentiary aggregate objective 2678 Warden-plus-free-intern activation, Fast Hands 2863 timed bonus activation, Alarm Panel 4648 WIP phase activation, Jabbithole placement spawns, and target-group interaction credit, Warden 62324 DataMapping/Jabbithole placement spawn and aggregate death credit, Deputy objective 4657 WIP phase activation, DataMapping/Jabbithole creature placement spawn, and death credit, Mondo's Monstrosity objective 2926 WIP phase activation, WorldLocation2/Jabbithole/DataMapping placement spawn, and death credit, Mondo's Crate objective 2920 WIP phase activation, Jabbithole/DataMapping placement spawn, dynamic max count-1 initialization, and death credit, Ruffles objective 4561 WIP phase activation, Jabbithole/DataMapping placement spawn, and death credit, Gilded Fowl objectives 2862/4442 WIP phase activation, Jabbithole/DataMapping placement spawn, and death credit, Hut-Hut objective 2675 WIP phase activation, DataMapping/Jabbithole placement spawn, and direct death credit, Misplaced Mammoth objective 4692 WIP phase activation, Jabbithole placement spawn, and death credit, and tank-room objectives 2676/2868/2869/2872 plus Redemption Value objective 2870 and no-death objective 2871 activation, Jabbithole placement spawns, WIP handoff, all-three dynamic max count-3 initialization, distinct-tank half-health tracking and pre-completion tank-death gating, player-death gating, aggregate-success credit, and tank death credit now test-backed from build 16042 TargetGroup / Creature2 plus local Jabbithole objective/creature/coordinate evidence; residual challenge, score, teleporter, hidden-holder, rookie, and room-mechanics rows are mapped-only with concrete blockers for missing room-specific producers and client smoke. Room randomization, start-button client smoke, Gate Console alias proof/client smoke and door choreography, remaining Prototentiary stealth/no-alarm semantics and exact timer/failure smoke, exact tank-room party-membership, health/challenge presentation, and replay semantics, exact Deputy density/pathing, exact Ruffles hunt route/pathing, exact Power Plunge scoring/qualification, Hut-Hut football scoring/fumble/shutout/deathless/timer semantics, timed challenge semantics, exact Mondo's Crate 60-second script/timer semantics and crate row selection, exact all-three 180-second/150-second timer/failure semantics, detailed boss mechanics, rewards, achievements, and manual dungeon smoke remain blocked."
world_story,3009,Vault of the Archon,Map\HalloftheHundred,11,0,666;668;669;677;678;693;696;874;875,85,103,75,9,175,4360;4361;4362;4363;4366;4586;4587;4588;4589;4590;4591;5587;5588;5589;5590;5591;5592;5593;5594;5595;5596;5597;5599;6841;6842;6843;6844;6845;6846;6847;6848;6893;6904,Source\NexusForever.Script.Instance\WorldStory\HallOfTheHundred\HallOfTheHundredMapScript.cs,3009,milestone_target_instance,"Dungeon, expedition, raid, or World Story instance content is inside the restoration milestone, while retail completion still requires row-specific proof.",mapped_wip_scaffold,mapped_only_pending_manual_smoke,not_retail_complete,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/MatchingGame*.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_*_SMOKE_REVIEW.md;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,"Mapped/WIP released Vault of the Archon world-story scaffold; Hall of the Hundred map/public-event binding plus Vault of the Archon opening gather 4456/4457, Dorian/Artemis 4458/4459, rejoin/follow-to-tree 4949/5149, listen-to-plan/Bloodhearth-tree rows 4950/4980, locked-gate investigation 4299 and Varegor Pass navigation 4384, Varegor 4300 death credit, Dorian/Artemis revive 4301/4302, bridge meet 4303, bridge weak-point explosives 4304, Kel Havik follow/regroup/tablet-study objectives 4305/4306/4308, watchtower turnstile 4310, watchtower floor triggers 4311/5002/5054, optional Unbound Flame Elemental 4318, optional Icebound Overlord 4972, optional Darkwitch Yotul 5001, elevator interaction 5133, follow-back 5136, courtyard regroup 4340, courtyard statue meet 4320, key collection 4314, key-fragment collection 5155, key placement 4322, vault-door gather/wait rows 4986/4987, inside-Hall follow objectives 4323/4324, vault entrance trigger 5260, vault-entry follow 5249, access-terminal trigger 4325, force-field wait 4326, Forcefield Power Link 4327 direct Script credit, Harizog ice-prison witness 4973 and Harizog 4328 boss death credit, vault-exit meet 4994, Osun/Havik exit blocker 4329 death credit, Warhound Kennel parent objective 5294 activation/credit and side objectives 4403/4434 trigger creation/credit, 4404 Varegor Watchhound activation/death credit, and 4441 Warhound cluster/Frozen Lever activation/death credit, plus Pell Graveyard parent objective 5295 activation/credit and Pell Graveyard side objectives 4451 trigger creation/credit, 4452/4453 checklist activation credit, 4462 script gate credit, and 4463 Primal Wraith death credit, plus Cold and Hungry side event 677 with Yeti Cave parent objective 5292 activation/credit, Frozen Carcasses 4378 checklist activation credit, leave-cave trigger 4379 activation/credit, escape script gate 4380 credit, and Yeti 4381 death credit, plus Cold Soup for the Soulrot side event 678 with Soulrot Cave parent objective 5293 activation/credit, canister trigger 4391 activation/credit, revive body rows 4392/4398 activation/credit, Soulrot collection 4393 activation/credit, waste disposal 4394 activation/credit, and Soulless kill row 4395 activation-only are test-backed through trigger creation/cleanup, type/object trigger credit, direct objective credit, guarded phase handoff, turnstile creation, and mapped Creature2/TargetGroup bindings. Party-count semantics, portal/exit routing, reviewed NPC/boss/weak-point/elevator/key/fragment/lock/power-link placement, Varegor Pass cold/environment behavior, Varegor/Harizog/optional boss combat mechanics, exact NPC/statue choreography around the 4320 trigger, inner-door choreography 4321, construct kills, Varegor Watchhound spawn/combat smoke, Warhound pack 67924/67925/67935 spawn/combat routing, Frozen Lever placement/destructible-state smoke, Pell Graveyard incense/altar placement and visual state, exact Primal Echo wave choreography, Primal Wraith spawn/combat smoke, Yeti Cave frozen-carcass placement/visual state, chase timing, Creature2 67657 spawn/combat smoke, Soulrot Cave body/sample/waste placement and visual state, Soulrot collection count cadence, Soulless Creature2 owner evidence, spell 83784 gating, jump-through/portal mechanics for 4327, exact Osun exit wave/spawn choreography, later Hall/vault mechanics, PE666 inner-door 4321 wrong-world placement proof, PE666 cold/environment 4332 and mount-summon 5220 semantics, PE666 Bloodhearth defense 4955 owner/target proof, PE668/669 protect-NPC lifecycle and fail-state proof, PE874 medal aggregation/reward semantics, PE875 escape event lifecycle and transport/mount proof, rewards, achievements, and manual World Story smoke remain blocked."
raid,3032,Redmoon Terror,Map\RedMoonTerror,9,0,705,57,,,,,,Source\NexusForever.Script.Instance\Raid\RedMoonTerror\RedMoonTerrorMapScript.cs,3032,milestone_target_instance,"Dungeon, expedition, raid, or World Story instance content is inside the restoration milestone, while retail completion still requires row-specific proof.",mapped_wip_scaffold,mapped_only_pending_manual_smoke,not_retail_complete,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/MatchingGame*.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_*_SMOKE_REVIEW.md;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,"Mapped/WIP raid scaffold; selected main/mid/late boss anchors are runtime-backed where separately listed, and residual Starmap/Laveka objectives 4620/4621 are now tracked as runtime-backed by activation plus objective-credit entity scripts. Waste-shaft route row 4604 is mapped-only pending completion proof, while oxygen, heat, immortal, challenge, teleporter, elevator, crew-quarter, resurrection, awakening, and raid-mechanics rows are mapped-only with concrete blockers. Red Moon Terror communicator/cinematic timing, Laveka choreography/awakening/challenge mechanics, doors/elevators, rewards, achievements, and manual raid smoke remain blocked."
raid,3040,Augmentor's Raid,Map\AugmentorsRaid,9,0,595,7,,,,,,Source\NexusForever.Script.Instance\Raid\InitializationCoreY83\InitializationCoreY83MapScript.cs,3040,milestone_target_instance,"Dungeon, expedition, raid, or World Story instance content is inside the restoration milestone, while retail completion still requires row-specific proof.",mapped_wip_scaffold,mapped_only_pending_manual_smoke,not_retail_complete,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/MatchingGame*.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_*_SMOKE_REVIEW.md;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,"Mapped/WIP raid scaffold; Initialization Core now activates the build 16042 Unlock the Quarantine Door objective 2681 during the Enter phase, and QuarantineDoorPanelEntityScript binds Creature2 68824 / TargetGroup 12539 to guarded activation credit for that objective. Quarantine Door open objective 2682 remains test-backed through Creature2 66047 / TargetGroup 12462. Residual boss/challenge rows 2683, 2684, 4636, and 4637 are mapped-only with concrete blockers for missing Prime Evolutionary Operants spawn/death-credit proof, party-death fail-state tracking, Phagetech Augmentation active-state mechanics, and Challenge 2 identity/reward semantics. The Phagetouched Freebot objective 4633 remains blocked because TargetGroup 12574 does not yet resolve to strong IC creature proof. Exact trigger placement, six-panel placement/count, door choreography, communicator/cinematic timing, boss/challenge mechanics, rewards, achievements, real cinematic payload, and manual raid smoke remain blocked."
dungeon,3041,Map\UltimateProtogamesRaid,Map\UltimateProtogamesRaid,9,0,642,5,,,,,,Source\NexusForever.Script.Instance\Dungeon\UltimateProtogames\Downsizer\PublicEventObjective.cs;Source\NexusForever.Script.Instance\Dungeon\UltimateProtogames\Downsizer\Script\DownsizerEntityScript.cs;Source\NexusForever.Script.Instance\Dungeon\UltimateProtogames\Downsizer\UltimateProtogamesEventScript.cs;Source\NexusForever.Script.Instance\Dungeon\UltimateProtogames\Downsizer\UltimateProtogamesMapScript.cs,642;3041,milestone_target_instance,"Dungeon, expedition, raid, or World Story instance content is inside the restoration milestone, while retail completion still requires row-specific proof.",mapped_wip_scaffold,mapped_only_pending_manual_smoke,not_retail_complete,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/MatchingGame*.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_*_SMOKE_REVIEW.md;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,"Mapped/WIP Ultimate Protogames Downsizer internal-encounter scaffold. Build 16042 World 3041 is type 9 Map\UltimateProtogamesRaid with no direct MatchingGameMap row, while queue-facing World 2980 is type 11 and owns MatchingGameMap rows 71/126, so the exact 2980-to-3041 encounter handoff remains unproven. PE642 objective 3197 activation, Creature2 61420 death credit, and the objective-success-only event-finish boundary are focused-test-backed. Challenge rows 3266/3267/3268/3269 are KillEventObjectiveUnit rows with count/object/world-location/target-group all zero; activation is tested, but the static rows do not justify a credit, failure, or scoring producer. Creature2 61420 exposes action-set 0, Jabbithole has no PE642 row, and the current consolidated decompile exports have no Downsizer/challenge anchor, so boss mechanics, placement, rewards, and achievements remain mapped-only. Instance settings close/reset/set/invalid-difficulty handling is focused-test-backed for the shared portal-settings packet surface. Retail completion requires a live transition capture from World 2980 to 3041 plus Creature2 61420 entity-create coordinates and spell casts, PE642 objective activate/update/status packets for challenge success/failure and repeat/wrong-objective negative cases, and reward/achievement/medal/score plus event-finish ordering."
raid,3042,BAD,Map\Datascape,9,0,,0,,,,,,,,inventory_only_client_table_only,"Build 16042 client World row remains visible, but lacks runtime script/owner proof; keep blocked until asset and retail status are proven or rejected.",client_recorded_review_required,observed_client_table_only,not_retail_complete,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/MatchingGame*.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_*_SMOKE_REVIEW.md;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,World.type=9 row name is BAD and shares Datascape asset; keep visible until client/retail status is proven or rejected.
event_instance,3044,Map\ShadesEveInstance,Map\ShadesEveInstance,1,0,597;627;630;632;633,95,98,71,8,,,Source\NexusForever.Script.Instance\EventInstance\ShadesEve\ShadesEveMapScript.cs,3044,inventory_only_adjacent_scripted_content,"Adjacent scripted content is tracked for dependency evidence, but is not a dungeon/expedition/raid completion target for this milestone.",mapped_wip_scaffold,mapped_only_pending_manual_smoke,not_retail_complete,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/MatchingGame*.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_*_SMOKE_REVIEW.md;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,"Mapped/WIP event-instance scaffold; Shade's Eve fountain objective 2705 and Etty Windsen objective 2737 are runtime-backed by tested activation, reviewed fountain/Etty spawns, communicator preservation, and phase handoff. TalkWithTheLocals 2726 is activation/vote-flow mapped-only pending talk-credit proof, and remaining event route, branch, invisible, interactable, escort, lab, costume, toast, horror, and side public-event rows are mapped-only with concrete blockers. Gather cleanup, town gate opening, exact route/vote follow-up, communicator/cinematic timing, objective credit, rewards, achievements, Etty/fountain smoke, and full event smoke remain blocked."
world_story,3045,Journey into OMNICore-1,Map\WorldStory01,10,0,605;631,127,102,74,9,175,4360;4361;4362;4363;4366;4586;4587;4588;4589;4590;4591;5587;5588;5589;5590;5591;5592;5593;5594;5595;5596;5597;5599;6841;6842;6843;6844;6845;6846;6847;6848;6893;6904,Source\NexusForever.Script.Instance\WorldStory\JourneyIntoOMNICore1\JourneyIntoOMNICore1MapScript.cs,3045,milestone_target_instance,"Dungeon, expedition, raid, or World Story instance content is inside the restoration milestone, while retail completion still requires row-specific proof.",mapped_wip_scaffold,mapped_only_pending_manual_smoke,not_retail_complete,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/MatchingGame*.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_*_SMOKE_REVIEW.md;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,"Mapped/WIP world-story scaffold; OMNICore opening Belle Walker/Axis Pheydra talk objectives, listen-script bridge, and first choose-path gate are test-backed. Route selection, firewall/Power Continuum/cortex objective routing, real cinematic payload, rewards, encounter behavior, and manual smoke remain blocked."
event_instance,3094,Map\ProtostarWinterfest,Map\ProtostarWinterfest,1,0,679,64,97,70,8,,,Source\NexusForever.Script.Instance\EventInstance\ProtostarsSuperMallInTheSky\ProtostarsSuperMallInTheSkyMapScript.cs,3094,inventory_only_adjacent_scripted_content,"Adjacent scripted content is tracked for dependency evidence, but is not a dungeon/expedition/raid completion target for this milestone.",mapped_wip_scaffold,mapped_only_pending_manual_smoke,not_retail_complete,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/MatchingGame*.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_*_SMOKE_REVIEW.md;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,"Mapped/WIP event-instance scaffold; SuperMall greeter gather objective 4388 is test-backed to the coarse RandomPath gate, and the 40 downstream store-route, score, timer, interactable, creature, and hidden controller rows are mapped-only with concrete missing producer/client-smoke blockers. Store/room routing, encounter logic, real cinematic payload, rewards, achievements, and full smoke remain blocked."
raid,3102,Map\RedMoonTerror40man,Map\RedMoonTerror40man,9,0,650,3,,,,,,Source\NexusForever.Script.Instance\Raid\RedMoonTerror\FortyMan\PublicEventObjective.cs;Source\NexusForever.Script.Instance\Raid\RedMoonTerror\FortyMan\PublicEventPhase.cs;Source\NexusForever.Script.Instance\Raid\RedMoonTerror\FortyMan\RedMoonTerror40ManEventScript.cs;Source\NexusForever.Script.Instance\Raid\RedMoonTerror\FortyMan\RedMoonTerror40ManMapScript.cs;Source\NexusForever.Script.Instance\Raid\RedMoonTerror\FortyMan\Script\RedMoonTerror40ManLavekaEntityScript.cs,650;3102,milestone_target_instance,"Dungeon, expedition, raid, or World Story instance content is inside the restoration milestone, while retail completion still requires row-specific proof.",mapped_wip_scaffold,mapped_only_pending_manual_smoke,not_retail_complete,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/MatchingGame*.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_*_SMOKE_REVIEW.md;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,"Mapped/WIP Red Moon Terror 40-man raid scaffold; public event 650 now activates build 16042 objective 525 and spawns a WIP Laveka boss anchor using Creature2 65997 plus reviewed Red Moon Terror placement/model evidence, with objective-525 death credit and finish behavior test-backed. Residual hidden turnstile rows 4622 and 4624 are mapped-only with concrete blockers for missing object 8007/8008 trigger placement, WorldLocation2, route routing, and client smoke proof. Exact 40-man route status, placement proof, Laveka combat/awakening/challenge mechanics, rewards, achievements, and manual raid smoke remain blocked."
dungeon,3173,Protogames Academy,Map\UltimateProtogamesJuniors,11,17,667,36,70;95;127,57;81;87,1;10;14,317,,Source\NexusForever.Script.Instance\Dungeon\ProtogamesAcademy\ProtogamesAcademyMapScript.cs,3173,milestone_target_instance,"Dungeon, expedition, raid, or World Story instance content is inside the restoration milestone, while retail completion still requires row-specific proof.",mapped_wip_scaffold,mapped_only_pending_manual_smoke,not_retail_complete,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/MatchingGame*.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_*_SMOKE_REVIEW.md;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,"Mapped/WIP dungeon scaffold; Gromka defeat objective activation and direct boss death credit now target the build 16042 KillTargetGroup objective, and the final Protogames leg now has test-backed Super-Invulnotron spawn/death credit, last-event teleporter trigger, Phineas meet trigger, and Wrathbone spawn/death credit from build 16042 PublicEventObjective/TargetGroup/Creature2 plus DataMapping creature placement evidence. Start button row 4341 is activation-only pending reviewed credit proof, and residual deathless, boss-challenge, DNT talk, medal timer, and rookie rows are mapped-only with concrete missing producer/client-smoke blockers. Exact Protogames Academy boss mechanics, trigger timing, communicator timing, platform/launcher cleanup, entity choreography, rewards, achievements, and manual dungeon smoke remain blocked."
expedition,3180,Fragment Zero,Map\ShiphandLevel6,1,24,680,38,72;79;115,58;82;88,8;11;15,329,6005;6020;6027,Source\NexusForever.Script.Instance\Expedition\FragmentZero\FragmentZeroMapScript.cs,3180,milestone_target_instance,"Dungeon, expedition, raid, or World Story instance content is inside the restoration milestone, while retail completion still requires row-specific proof.",mapped_wip_scaffold,mapped_only_pending_manual_smoke,not_retail_complete,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/MatchingGame*.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_*_SMOKE_REVIEW.md;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,"Mapped/WIP expedition scaffold; Fragment Zero automated-defense panel objective 4635 now credits its build 16042 ActivateTargetGroupChecklist target group, hidden recording objectives 4454/4455 now credit their checklist target groups and parent objective 4448, Xenobite Egg objective 4632 now has direct activation credit from mapped Incubation Complex egg objects, final Hugo bridge direct-credits zero-count wait/stay-close objectives 4655/4447, Hugo aura/final talk objective producers are test-backed from target groups, Search for Missing Crew objective 4397 is tied to the WIP-guessed turnstile trigger, Jo/Syrus Script search rows 4421/4420 now spawn one-unit WIP grid triggers with owner-bound direct-credit scripts, gold-medal timer 4690 has test-backed activation and final credit, Jo/Syrus/Hugo target-group rows 4424/4432/4445 are test-backed by entity activation scripts, branch and airlock activation rows 4422/4426/4693/4427/4429/4418/4430/4443/4446 are test-backed for activation but remain pending exact route, credit, trigger, and client-smoke evidence, Skeech horde kill rows 4416/4584/4585/4586 are test-backed for all four TargetGroup 12254 Creature2 leaves 67516/67518/67519/67520, and Prototype/Matron/Life Overseer kill rows 4423/4449/4450/4417/4444 have test-backed phase activation plus TargetGroup death-credit scripts; residual Skeech ambush 4425 remains mapped-only with concrete missing wave-completion producer evidence."
expedition,3404,Evil from the Ether,Map\ShiphandHungerFromtheVoid,1,25,781,32,106;107;130,78;82;88,8;11;15,360,7048;7049;7050;7051,Source\NexusForever.Script.Instance\Expedition\EvilFromTheEther\EvilFromTheEtherMapScript.cs,3404,milestone_target_instance,"Dungeon, expedition, raid, or World Story instance content is inside the restoration milestone, while retail completion still requires row-specific proof.",mapped_wip_scaffold,mapped_only_pending_manual_smoke,not_retail_complete,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/MatchingGame*.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_*_SMOKE_REVIEW.md;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,"Mapped/WIP expedition scaffold; Evil from the Ether Captain Weir talk objective activation/credit, Open Medbay door-control producer 4937, medbay spare-parts/repaired-door/generator producers, main engineering generator Alpha/Beta child plus aggregate objective producers, upper-deck and escape teleporter rows 4919/4927, tethered portal rows 4921/4923, crew-log row 4947, crew-quarters entry row 4974, drive schematics row 5013, Etheric Organism TargetGroup death-credit producers 4975/4977, Kill the Ether-Charged Ravenous objective 4926 activation/credit plus Katja-fight phase gate, self-destruct drive controls, teleporter controls, Drive Diagnostics 4943 activation/credit plus the schematics/diagnostics phase gate, and Gold medal timer objective 4944 activation/final credit are test-backed; exploding etheric portal avoidance row 4942 remains mapped-only pending a hit/failure producer, while drive sparks, exact diagnostics visual/despawn timing, exact medbay cleanup/phase timing, organism spawn/wave cadence, Ether-Charged Ravenous spawn/visual/despawn timing, exact medal/reward semantics, placement/import smoke, rewards, achievements, and manual expedition smoke remain blocked."
