owner_id,quest_id,quest_title,quest_bucket,quest_completion_status,quest_link_status,script_kind,script_class,script_path,owner_ids_on_attribute,evidence_status,evidence_sources,manual_validation,completion_status,blocker_summary
3486,3486,Empowered Tower,curated_full,not_retail_complete,current_quest,quest_script,Q3486EmpoweredTowerQuestScript,Source\NexusForever.Script.Main\Quests\NorthernWilds\Q3486EmpoweredTower.cs,3486,runtime_q3486_arrival_loftite_guardian_and_followup_script_tested_pending_client_smoke,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;wildstar_client_mysql/WorldLocation2.tbl.sql;Tools/DataMapping/review/creature_bridge_overrides.csv;Tools/DataMapping/output/creature_quest_map.csv;Tools/DataMapping/output/quest_objective_map.csv;Tools/DataMapping/output/creature_spawn_map.csv;Source/NexusForever.Script.Main/Quests/NorthernWilds/NorthernWildsMapScript.cs;Source/NexusForever.Script.Main/Quests/NorthernWilds/Q3486EmpoweredTower.cs;Source/NexusForever.Game.Tests/Quests/NorthernWildsBranchInteractionTests.cs;Source/NexusForever.Game.Tests/Quests/NorthernWildsQuestChainTests.cs;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending,not_retail_complete,"Q3486 now has focused-test-backed Script.Main producers for Exo-Lab 729 arrival/story-panel credit, already-in-zone accept credit, Loftite Crystal virtual item 206 collection, Crystal Guardian virtual item 206 kill credit, the shared Master Control Panel fallback at Quest2 receiver location 7778, one Loftite Crystal fallback at objective location 7807, and five Crystal Guardian fallbacks in Exo-Lab 729. Retail completion still needs client-visible panel dialog/activation smoke, exact crystal collision and respawn timing, live combat smoke, reward/achievement side effects, and end-to-end Q3486/Q3671/Q3668 chain smoke."
3487,3487,Shellshock!,curated_full,not_retail_complete,current_quest,quest_script,Q3487ShellshockQuestScript,Source\NexusForever.Script.Main\Quests\NorthernWilds\Q3487Shellshock.cs,3487,runtime_curated_quest_script_pending_manual_smoke,Source/NexusForever.Script.Main;wildstar_client_mysql/Quest2.tbl.sql;Tools/WikiArchiveAudit/quest_implementation_audit.py;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending,not_retail_complete,"Quest script hook is tracked, but retail completion needs objective/follow-up behavior proof, reward and achievement side effects, automated coverage, and client/manual smoke."
3667,3667,The Tower,curated_full,not_retail_complete,current_quest,quest_script,Q3667TheTowerQuestScript,Source\NexusForever.Script.Main\Quests\NorthernWilds\Q3667TheTower.cs,3667,runtime_q3667_master_control_panel_spawn_and_credit_script_tested_pending_client_smoke,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;wildstar_client_mysql/WorldLocation2.tbl.sql;Tools/DataMapping/output/creature_quest_map.csv;Tools/DataMapping/output/creature_spawn_map.csv;Source/NexusForever.Script.Main/Quests/NorthernWilds/NorthernWildsMapScript.cs;Source/NexusForever.Script.Main/Quests/NorthernWilds/Q3667TheTower.cs;Source/NexusForever.WorldServer/Network/Message/Handler/Entity/InteractionObjectiveUpdater.cs;Source/NexusForever.Game/Spell/SpellEffectHandler.cs;Source/NexusForever.Game/Quest/Quest.cs;Source/NexusForever.Game/Quest/QuestObjective.cs;Source/NexusForever.Game.Tests/Quests/NorthernWildsBranchInteractionTests.cs;Source/NexusForever.Game.Tests/Entity/InteractionObjectiveUpdaterTests.cs;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending,not_retail_complete,"Q3667 now has focused-test-backed server availability for the build 16042 Master Control Panel route: NorthernWildsMapScript fallback-spawns Creature2 11194 at Quest2 receiver/objective indicator WorldLocation2 7778, Q3667ControlPanelEntityScript credits objective 4770 from direct activation plus the branch-proximity fallback while Q3667 is accepted, and the quest script preserves the Q3486 follow-up handoff. Deadeye Brightland 11063 is the reviewed starter relation and is covered by existing Northern Wilds Deadeye fallbacks. Retail completion still needs client-visible Deadeye accept dialog, panel completion dialog/activation smoke, exact trigger timing, prerequisite flow, reward/achievement side effects, and end-to-end Q3667 -> Q3486 smoke."
3668,3668,Indigenous Intelligence,curated_full,not_retail_complete,current_quest,quest_script,Q3668QuestScript,Source\NexusForever.Script.Main\Quests\NorthernWilds\Q3668.cs,3668,runtime_q3668_receiver_objective_spawn_and_generic_credit_paths_tested_pending_client_smoke,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;wildstar_client_mysql/WorldLocation2.tbl.sql;Tools/DataMapping/output/creature_quest_map.csv;Tools/DataMapping/output/quest_objective_map.csv;Tools/DataMapping/output/creature_spawn_map.csv;Source/NexusForever.Script.Main/Quests/NorthernWilds/NorthernWildsMapScript.cs;Source/NexusForever.Script.Main/Quests/NorthernWilds/Q3668.cs;Source/NexusForever.Game/Quest/Quest.cs;Source/NexusForever.Game/Quest/QuestObjective.cs;Source/NexusForever.Game/AssetManager.cs;Source/NexusForever.Game/Entity/UnitEntity.cs;Source/NexusForever.WorldServer/Network/Message/Handler/Entity/InteractionObjectiveUpdater.cs;Source/NexusForever.Game.Tests/Quests/NorthernWildsBranchInteractionTests.cs;Source/NexusForever.Game.Tests/Entity/InteractionObjectiveUpdaterTests.cs;Source/NexusForever.Game.Tests/Quest/AssetManagerTargetGroupTests.cs;Source/NexusForever.Game.Tests/Quest/QuestTests.cs;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending,not_retail_complete,"Q3668 now has focused-test-backed Northern Wilds map-load fallbacks for Bartol Sunward at Quest2 receiver location 9121, Scientist Lusk at objective indicator location 8857, seven Imprisoned Survivor 14124 placements for TargetGroup 7261, and reviewed Skeech kill-target placements for TargetGroup 7293 members 36429, 17545, 11907, 11910, 11912, 11917, and 36884. The Q3668 quest script remains lifecycle-only while generic TalkTo, ActivateEntity target-group, and KillTargetGroups handlers provide the server-side credit paths; focused QuestManager coverage now pins selectable rewards and achievement completion hooks. Retail completion still needs client-visible Deadeye/Lusk/Bartol dialog and activation smoke, exact survivor transform/despawn timing, missing TargetGroup members 14054 and 11913 review, reward-choice UI smoke, inventory persistence validation, achievement UI/progression smoke, and end-to-end Q3486/Q3671/Q3668 chain smoke."
3670,3670,Calm Before the Storm,no_objectives,not_retail_complete,current_quest,quest_script,Q3670QuestScript,Source\NexusForever.Script.Main\Quests\NorthernWilds\Q3670.cs,3670,implemented_no_objective_script_lifecycle_tests_pending_dialog_smoke,Source/NexusForever.Script.Main;wildstar_client_mysql/Quest2.tbl.sql;Tools/WikiArchiveAudit/quest_implementation_audit.py;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game.Tests/Quest/QuestTests.cs,pending,not_retail_complete,"No-objective quest script hook is row-tested through the shared QuestManager accept-to-achieved and visible-receiver completion paths for this Quest2 row; retail completion still needs client-visible dialog activation, exact row-specific reward and achievement side effects, and client/manual smoke."
3671,3671,Setting Up Camp,no_objectives,not_retail_complete,current_quest,quest_script,Q3671QuestScript,Source\NexusForever.Script.Main\Quests\NorthernWilds\Q3671.cs,3671,implemented_no_objective_script_lifecycle_tests_pending_dialog_smoke,Source/NexusForever.Script.Main;wildstar_client_mysql/Quest2.tbl.sql;Tools/WikiArchiveAudit/quest_implementation_audit.py;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game.Tests/Quest/QuestTests.cs,pending,not_retail_complete,"No-objective quest script hook is row-tested through the shared QuestManager accept-to-achieved and visible-receiver completion paths for this Quest2 row; retail completion still needs client-visible dialog activation, exact row-specific reward and achievement side effects, and client/manual smoke."
3673,3673,Contact with Thayd,curated_full,not_retail_complete,current_quest,quest_script,Q3673ContactWithThaydQuestScript,Source\NexusForever.Script.Main\Quests\NorthernWilds\Q3673ContactWithThayd.cs,3673,runtime_q3673_signal_flare_hidden_completion_duplicate_guard_and_followup_script_tested_pending_client_smoke,Source/NexusForever.Script.Main/Quests/NorthernWilds/Q3673ContactWithThayd.cs;Source/NexusForever.Script.Main/Quests/NorthernWilds/NorthernWildsMapScript.cs;Source/NexusForever.Game.Tests/Quests/NorthernWildsBranchInteractionTests.cs;Source/NexusForever.Game.Tests/Quests/NorthernWildsQuestChainTests.cs;Source/NexusForever.WorldServer/Network/Message/Handler/Entity/InteractionObjectiveUpdater.cs;Source/NexusForever.Game.Tests/Entity/InteractionObjectiveUpdaterTests.cs;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;wildstar_client_mysql/WorldLocation2.tbl.sql;Tools/DataMapping/output/creature_quest_map.csv;Tools/DataMapping/output/creature_spawn_map.csv;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending,not_retail_complete,"Q3673 now has focused-test-backed Northern Wilds map-load fallbacks for Deadeye Brightland and all three Signal Flares, with checklist indexes aligned to TargetGroup 1106 and generic interaction coverage for SucceedCSI/ActivateTargetGroupChecklist credit. The quest script now credits hidden required objective 13391 after Signal Flare checklist objective 4748 completes, suppresses duplicate hidden-objective credit from repeated complete-checklist callbacks, then preserves the Achieved cinematic and Q3670 follow-up handoff. Focused QuestManager coverage grants each build 16042 selectable reward item and fires the quest achievement hooks at visible Deadeye 11063. Retail completion still needs client-visible Deadeye dialog/activation smoke, exact activate/CSI packet smoke, achieved-state/cinematic timing smoke, prerequisite flow from Q3886, alternate receiver routing, reward-choice UI/persistence and achievement UI smoke, and end-to-end quest smoke."
3741,3741,Scattered Supplies,generic_with_script,not_retail_complete,current_quest,quest_script,Q3741ScatteredSuppliesQuestScript,Source\NexusForever.Script.Main\Quests\NorthernWilds\Q3741ScatteredSupplies.cs,3741,runtime_q3741_full_server_lifecycle_rewards_persistence_staging_and_achievement_tested_pending_client_smoke,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;wildstar_client_mysql/WorldLocation2.tbl.sql;wildstar_client_mysql/CommunicatorMessages.tbl.sql;Tools/DataMapping/output/creature_quest_map.csv;Tools/DataMapping/output/quest_objective_map.csv;Tools/DataMapping/output/creature_spawn_map.csv;Source/NexusForever.Script.Main/Quests/NorthernWilds/NorthernWildsMapScript.cs;Source/NexusForever.Script.Main/Quests/NorthernWilds/Q3741ScatteredSupplies.cs;Source/NexusForever.WorldServer/Network/Message/Handler/Entity/InteractionObjectiveUpdater.cs;Source/NexusForever.WorldServer/Network/Message/Handler/Entity/ClientActivateUnitCastHandler.cs;Source/NexusForever.Game/Quest/Quest.cs;Source/NexusForever.Game/Quest/QuestObjective.cs;Source/NexusForever.Game/Quest/GlobalQuestManager.cs;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Entity/Inventory.cs;Source/NexusForever.Game/Entity/Item.cs;Source/NexusForever.Game/AssetManager.cs;Source/NexusForever.Game.Tests/Entity/ClientActivateUnitCastHandlerTests.cs;Source/NexusForever.Game.Tests/Entity/Q3741RewardInventoryPersistenceTests.cs;Source/NexusForever.Game.Tests/Quests/NorthernWildsBranchInteractionTests.cs;Source/NexusForever.Game.Tests/Quests/EarlyZoneEntityObjectiveCreditTests.cs;Source/NexusForever.Game.Tests/Quest/GlobalQuestManagerPartialTableTests.cs;Source/NexusForever.Game.Tests/Quest/QuestTests.cs;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending,not_retail_complete,"Q3741 has focused-test-backed server availability for 26 current reviewed Exile Supply Crate 12919 placements from DataMapping source_coordinate_ids 1218, 1219, 1220, 1221, 1222, 1223, 1224, 1225, 1226, 1227, 1228, 1229, 1230, 1231, 1232, 14881, 17735, 17736, 17737, 51949, 51950, 51951, 51952, 87248, 107347, and 115540 in world 426 area 597 around indicator WorldLocation2 ids 9181/9182/9962 and client-table-backed Durek 11066 giver/receiver routing. Focused Q3741 coverage now proves the client activation handler casts Creature2 12919's build 16042 activate spell 1817, only accepted quests receive one VirtualCollect 363 credit per distinct crate, visible Durek 11066 accepts and completes the quest, six distinct crates advance objective 4813 to Achieved, both fixed rewards are presented through ServerItemAdd and staged as persistent ItemModel rows by Inventory.Save, and the real CharacterAchievementManager sets AchievementChecklist 4261 bit 2 on achievement 3490. Retail completion still needs client-visible crate cast-bar/VirtualCollect UI smoke, live density reconciliation for source_coordinate_id 2634068, an older coordinate_last_seen_in=4 row near current source_coordinate_id 1220 and the current runtime placement count, exact respawn/despawn behavior, Durek accept/completion dialogs, reward-panel and post-relogin inventory proof, achievement toast/journal UI, the configured missing-objective, wrong-world/objective, and repeat-after-completion negative cases, objective/zone/creature bridge review, and a complete client playthrough."
3777,3777,By Leaps and Bounds,generic_with_script,not_retail_complete,current_quest,quest_script,Q3777ByLeapsAndBoundsQuestScript,Source\NexusForever.Script.Main\Quests\NorthernWilds\Q3777ByLeapsAndBounds.cs,3777,runtime_q3777_denner_loftite_crystal_spawn_and_credit_script_tested_pending_client_smoke,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;wildstar_client_mysql/WorldLocation2.tbl.sql;Tools/DataMapping/output/creature_quest_map.csv;Tools/DataMapping/output/creature_spawn_map.csv;Source/NexusForever.Script.Main/Quests/Galeras/GalerasMapScript.cs;Source/NexusForever.Script.Main/Quests/NorthernWilds/Q3777ByLeapsAndBounds.cs;Source/NexusForever.Game/Entity/Player.cs;Source/NexusForever.Game/Quest/Quest.cs;Source/NexusForever.Game/Quest/QuestObjective.cs;Source/NexusForever.Game/AssetManager.cs;Source/NexusForever.Game.Tests/Quests/GalerasMapScriptTests.cs;Source/NexusForever.Game.Tests/Quests/GalerasQuestScriptTests.cs;Source/NexusForever.Game.Tests/Quest/QuestTests.cs;Source/NexusForever.Game.Tests/Quest/AssetManagerTargetGroupTests.cs;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending,not_retail_complete,"Q3777 now has focused-test-backed Galeras availability for Denner Hazefall at Quest2 receiver WorldLocation2 11687 and eight build 16042 Q3777 Loftite Crystal 13120 fallbacks inside objective indicator WorldLocation2 9578. Q3777LoftiteCrystalEntityScript binds both the DataMapping bridge id 6987 and the build 16042 TargetGroup member 13120, then credits first-fragment objective 5076 and CollectItem 6998 while Q3777 is accepted. Focused QuestManager/QuestInfo coverage grants the selected item, achievement hooks, and default faction 260 reputation amount 188. The quest remains not retail-complete pending client-visible Denner dialog/activation smoke, exact crystal jump-through/collision and respawn/despawn timing, reward UI/persistence smoke, achievement UI/progression smoke, and end-to-end Q3777 smoke."
3781,3781,Captives of the Dominion,generic_with_script,not_retail_complete,current_quest,quest_script,Q3781CaptivesOfTheDominionQuestScript,Source\NexusForever.Script.Main\Quests\NorthernWilds\Q3781CaptivesOfTheDominion.cs,3781,runtime_q3781_starter_captives_receiver_spawn_credit_and_duplicate_guard_tested_pending_client_smoke,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;wildstar_client_mysql/WorldLocation2.tbl.sql;Tools/DataMapping/output/creature_quest_map.csv;Tools/DataMapping/output/creature_spawn_map.csv;Source/NexusForever.Script.Main/Quests/NorthernWilds/NorthernWildsMapScript.cs;Source/NexusForever.Script.Main/Quests/NorthernWilds/Q3781CaptivesOfTheDominion.cs;Source/NexusForever.Script.Main/Quests/Galeras/GalerasMapScript.cs;Source/NexusForever.Game/Quest/GlobalQuestManager.cs;Source/NexusForever.Game/Quest/Quest.cs;Source/NexusForever.Game/Quest/QuestObjective.cs;Source/NexusForever.Game.Tests/Quests/NorthernWildsBranchInteractionTests.cs;Source/NexusForever.Game.Tests/Quests/EarlyZoneEntityObjectiveCreditTests.cs;Source/NexusForever.Game.Tests/Quest/GlobalQuestManagerPartialTableTests.cs;Source/NexusForever.Game.Tests/Quest/QuestTests.cs;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending,not_retail_complete,"Q3781 now has focused-test-backed server availability for Dead Exile Soldier 50668 starter fallback coverage at reviewed DataMapping source_coordinate_id 2055, eleven Captive Exile Soldier 12537 objective fallbacks inside Camp Icefury objective WorldLocation2 26787, Q3781CaptiveExileSoldierEntityScript rescue credit for objective 4880 across all build 16042 TargetGroup 2143 members 12537/21015/21016, script-local duplicate suppression so one captive cannot satisfy the three-rescue count by repeat activation, and Galeras Deadeye Brightland 16622 alternate receiver/cache coverage at WorldLocation2 12354. The quest remains not retail-complete pending client-visible starter/deadeye dialog and activation smoke, exact captive activate/CSI transform/despawn/respawn behavior, placement/variant review for 21015 and 21016, reward-choice UI/persistence, achievement/progression side effects, and end-to-end Q3781 smoke."
3783,3783,Off with Her Head!,no_objectives,not_retail_complete,current_quest,quest_script,Q3783OffWithHerHeadQuestScript,Source\NexusForever.Script.Main\Quests\NorthernWilds\Q3783OffWithHerHead.cs,3783,runtime_q3783_item_started_no_objective_durek_turnin_reward_tested_pending_client_smoke,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/Quest2Reward.tbl.sql;wildstar_client_mysql/Item2.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;wildstar_client_mysql/WorldLocation2.tbl.sql;Tools/DataMapping/output/creature_quest_map.csv;Tools/DataMapping/output/creature_spawn_map.csv;Source/NexusForever.Script.Main/Quests/NorthernWilds/NorthernWildsMapScript.cs;Source/NexusForever.Script.Main/Quests/NorthernWilds/Q3783OffWithHerHead.cs;Source/NexusForever.Game/Quest/GlobalQuestManager.cs;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game.Tests/Quests/NorthernWildsBranchInteractionTests.cs;Source/NexusForever.Game.Tests/Quest/GlobalQuestManagerPartialTableTests.cs;Source/NexusForever.Game.Tests/Quest/QuestTests.cs;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending,not_retail_complete,"Q3783 now has focused-test-backed server availability for its item-started no-objective turn-in path: Item2 6954 starts Q3783, Quest2 receiver WorldLocation2 7727 points to Land's Reach, NorthernWildsMapScript fallback-spawns build 16042 Creature2 11066 Commander Durek at that receiver location, and QuestManager coverage completes the achieved quest at visible 11066 while granting Quest2Reward row 8830 item 17756. The quest remains not retail-complete pending client-visible item-start and Durek dialog/activation smoke, reward UI/persistence, achievement/progression side effects, and end-to-end Q3783 smoke."
