quest_id,quest_title,quest_bucket,quest_completion_status,quest_link_status,episode_quest_id,episode_id,episode_name,order_index,flags,episode_bridge_status,episode_match_status,jabbithole_episode_id,jabbithole_episode_name,client_episode_name,client_world_zone_id,client_world_zone_name,slug,episode_quests_count,enabled,last_seen_in,evidence_status,evidence_sources,manual_validation,completion_status,blocker_summary
3131,Coordinated Assault,no_objectives,not_retail_complete,current_quest,1550,300,Brute Force,0,0,missing_episode_bridge,missing_episode_bridge,,,,,,,,,,datamapping_episode_quest_missing_episode_bridge_blocked,Tools/DataMapping/output/episode_quest_client_map.csv;Tools/DataMapping/output/quest_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_episodes.sql;wildstar_client_mysql/Episode.tbl.sql;wildstar_client_mysql/EpisodeQuest.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Quest;Tools/DataMapping/README.md,pending,not_retail_complete,"EpisodeQuest row 1550 links Quest2 3131 order 0 flags 0 to Episode 300 (Brute Force), but Tools/DataMapping/output/quest_episode_map.csv has no bridge from that current Episode id to a Jabbithole quest episode. Retail implementation needs a current Episode/EpisodeQuest bridge reconciled with jabbithole_mysql/quest_episodes.sql or a reviewed replacement episode bridge, followed by quest order, episode visibility/progression, UI, and quest-chain smoke."
3132,Frontal Siege,generic_table_driven,not_retail_complete,current_quest,1551,300,Brute Force,1,0,missing_episode_bridge,missing_episode_bridge,,,,,,,,,,datamapping_episode_quest_missing_episode_bridge_blocked,Tools/DataMapping/output/episode_quest_client_map.csv;Tools/DataMapping/output/quest_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_episodes.sql;wildstar_client_mysql/Episode.tbl.sql;wildstar_client_mysql/EpisodeQuest.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Quest;Tools/DataMapping/README.md,pending,not_retail_complete,"EpisodeQuest row 1551 links Quest2 3132 order 1 flags 0 to Episode 300 (Brute Force), but Tools/DataMapping/output/quest_episode_map.csv has no bridge from that current Episode id to a Jabbithole quest episode. Retail implementation needs a current Episode/EpisodeQuest bridge reconciled with jabbithole_mysql/quest_episodes.sql or a reviewed replacement episode bridge, followed by quest order, episode visibility/progression, UI, and quest-chain smoke."
3133,Breach the Gate,no_objectives,not_retail_complete,current_quest,1552,300,Brute Force,2,0,missing_episode_bridge,missing_episode_bridge,,,,,,,,,,datamapping_episode_quest_missing_episode_bridge_blocked,Tools/DataMapping/output/episode_quest_client_map.csv;Tools/DataMapping/output/quest_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_episodes.sql;wildstar_client_mysql/Episode.tbl.sql;wildstar_client_mysql/EpisodeQuest.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Quest;Tools/DataMapping/README.md,pending,not_retail_complete,"EpisodeQuest row 1552 links Quest2 3133 order 2 flags 0 to Episode 300 (Brute Force), but Tools/DataMapping/output/quest_episode_map.csv has no bridge from that current Episode id to a Jabbithole quest episode. Retail implementation needs a current Episode/EpisodeQuest bridge reconciled with jabbithole_mysql/quest_episodes.sql or a reviewed replacement episode bridge, followed by quest order, episode visibility/progression, UI, and quest-chain smoke."
3134,Gang Leaders,no_objectives,not_retail_complete,current_quest,1553,300,Brute Force,3,0,missing_episode_bridge,missing_episode_bridge,,,,,,,,,,datamapping_episode_quest_missing_episode_bridge_blocked,Tools/DataMapping/output/episode_quest_client_map.csv;Tools/DataMapping/output/quest_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_episodes.sql;wildstar_client_mysql/Episode.tbl.sql;wildstar_client_mysql/EpisodeQuest.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Quest;Tools/DataMapping/README.md,pending,not_retail_complete,"EpisodeQuest row 1553 links Quest2 3134 order 3 flags 0 to Episode 300 (Brute Force), but Tools/DataMapping/output/quest_episode_map.csv has no bridge from that current Episode id to a Jabbithole quest episode. Retail implementation needs a current Episode/EpisodeQuest bridge reconciled with jabbithole_mysql/quest_episodes.sql or a reviewed replacement episode bridge, followed by quest order, episode visibility/progression, UI, and quest-chain smoke."
3135,Finish the Crowe,no_objectives,not_retail_complete,current_quest,1554,300,Brute Force,4,0,missing_episode_bridge,missing_episode_bridge,,,,,,,,,,datamapping_episode_quest_missing_episode_bridge_blocked,Tools/DataMapping/output/episode_quest_client_map.csv;Tools/DataMapping/output/quest_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_episodes.sql;wildstar_client_mysql/Episode.tbl.sql;wildstar_client_mysql/EpisodeQuest.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Quest;Tools/DataMapping/README.md,pending,not_retail_complete,"EpisodeQuest row 1554 links Quest2 3135 order 4 flags 0 to Episode 300 (Brute Force), but Tools/DataMapping/output/quest_episode_map.csv has no bridge from that current Episode id to a Jabbithole quest episode. Retail implementation needs a current Episode/EpisodeQuest bridge reconciled with jabbithole_mysql/quest_episodes.sql or a reviewed replacement episode bridge, followed by quest order, episode visibility/progression, UI, and quest-chain smoke."
3136,Coordinated Assault,no_objectives,not_retail_complete,current_quest,1555,301,Elite Tactics,0,0,missing_episode_bridge,missing_episode_bridge,,,,,,,,,,datamapping_episode_quest_missing_episode_bridge_blocked,Tools/DataMapping/output/episode_quest_client_map.csv;Tools/DataMapping/output/quest_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_episodes.sql;wildstar_client_mysql/Episode.tbl.sql;wildstar_client_mysql/EpisodeQuest.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Quest;Tools/DataMapping/README.md,pending,not_retail_complete,"EpisodeQuest row 1555 links Quest2 3136 order 0 flags 0 to Episode 301 (Elite Tactics), but Tools/DataMapping/output/quest_episode_map.csv has no bridge from that current Episode id to a Jabbithole quest episode. Retail implementation needs a current Episode/EpisodeQuest bridge reconciled with jabbithole_mysql/quest_episodes.sql or a reviewed replacement episode bridge, followed by quest order, episode visibility/progression, UI, and quest-chain smoke."
3137,[GROUP] Covert Ops,no_objectives,not_retail_complete,current_quest,1556,301,Elite Tactics,1,0,missing_episode_bridge,missing_episode_bridge,,,,,,,,,,datamapping_episode_quest_missing_episode_bridge_blocked,Tools/DataMapping/output/episode_quest_client_map.csv;Tools/DataMapping/output/quest_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_episodes.sql;wildstar_client_mysql/Episode.tbl.sql;wildstar_client_mysql/EpisodeQuest.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Quest;Tools/DataMapping/README.md,pending,not_retail_complete,"EpisodeQuest row 1556 links Quest2 3137 order 1 flags 0 to Episode 301 (Elite Tactics), but Tools/DataMapping/output/quest_episode_map.csv has no bridge from that current Episode id to a Jabbithole quest episode. Retail implementation needs a current Episode/EpisodeQuest bridge reconciled with jabbithole_mysql/quest_episodes.sql or a reviewed replacement episode bridge, followed by quest order, episode visibility/progression, UI, and quest-chain smoke."
3138,[GROUP] Raining Fire,no_objectives,not_retail_complete,current_quest,1557,301,Elite Tactics,2,0,missing_episode_bridge,missing_episode_bridge,,,,,,,,,,datamapping_episode_quest_missing_episode_bridge_blocked,Tools/DataMapping/output/episode_quest_client_map.csv;Tools/DataMapping/output/quest_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_episodes.sql;wildstar_client_mysql/Episode.tbl.sql;wildstar_client_mysql/EpisodeQuest.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Quest;Tools/DataMapping/README.md,pending,not_retail_complete,"EpisodeQuest row 1557 links Quest2 3138 order 2 flags 0 to Episode 301 (Elite Tactics), but Tools/DataMapping/output/quest_episode_map.csv has no bridge from that current Episode id to a Jabbithole quest episode. Retail implementation needs a current Episode/EpisodeQuest bridge reconciled with jabbithole_mysql/quest_episodes.sql or a reviewed replacement episode bridge, followed by quest order, episode visibility/progression, UI, and quest-chain smoke."
3139,[GROUP] Gang Leaders,no_objectives,not_retail_complete,current_quest,1558,301,Elite Tactics,3,0,missing_episode_bridge,missing_episode_bridge,,,,,,,,,,datamapping_episode_quest_missing_episode_bridge_blocked,Tools/DataMapping/output/episode_quest_client_map.csv;Tools/DataMapping/output/quest_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_episodes.sql;wildstar_client_mysql/Episode.tbl.sql;wildstar_client_mysql/EpisodeQuest.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Quest;Tools/DataMapping/README.md,pending,not_retail_complete,"EpisodeQuest row 1558 links Quest2 3139 order 3 flags 0 to Episode 301 (Elite Tactics), but Tools/DataMapping/output/quest_episode_map.csv has no bridge from that current Episode id to a Jabbithole quest episode. Retail implementation needs a current Episode/EpisodeQuest bridge reconciled with jabbithole_mysql/quest_episodes.sql or a reviewed replacement episode bridge, followed by quest order, episode visibility/progression, UI, and quest-chain smoke."
3140,[GROUP] Finish the Crowe,no_objectives,not_retail_complete,current_quest,1559,301,Elite Tactics,4,0,missing_episode_bridge,missing_episode_bridge,,,,,,,,,,datamapping_episode_quest_missing_episode_bridge_blocked,Tools/DataMapping/output/episode_quest_client_map.csv;Tools/DataMapping/output/quest_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_episodes.sql;wildstar_client_mysql/Episode.tbl.sql;wildstar_client_mysql/EpisodeQuest.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Quest;Tools/DataMapping/README.md,pending,not_retail_complete,"EpisodeQuest row 1559 links Quest2 3140 order 4 flags 0 to Episode 301 (Elite Tactics), but Tools/DataMapping/output/quest_episode_map.csv has no bridge from that current Episode id to a Jabbithole quest episode. Retail implementation needs a current Episode/EpisodeQuest bridge reconciled with jabbithole_mysql/quest_episodes.sql or a reviewed replacement episode bridge, followed by quest order, episode visibility/progression, UI, and quest-chain smoke."
3369,Clanlord Makaza,no_objectives,not_retail_complete,current_quest,4037,303,Noble Quarry,0,1,mapped_episode,matched,101,Noble Quarry,Noble Quarry,1215,Western Deradune,noble-quarry-303,14,true,7,datamapping_episode_quest_matched_pending_order_progression_smoke,Tools/DataMapping/output/episode_quest_client_map.csv;Tools/DataMapping/output/quest_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_episodes.sql;wildstar_client_mysql/Episode.tbl.sql;wildstar_client_mysql/EpisodeQuest.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"EpisodeQuest row 4037 links Quest2 3369 order 0 flags 1 to Episode 303 (Noble Quarry) in WorldZone 1215 (Western Deradune); Tools/DataMapping/output/quest_episode_map.csv maps match_status matched to Jabbithole episode 101 (Noble Quarry); slug noble-quarry-303, episode quest count 14, enabled true, last_seen_in 7. The episode bridge is mapped, but retail completion needs runtime episode ordering/progression semantics, quest visibility and turn-in state, UI presentation, and quest-chain smoke for this row."
3370,Clanlord Makaza,no_objectives,not_retail_complete,current_quest,4038,303,Noble Quarry,0,1,mapped_episode,matched,101,Noble Quarry,Noble Quarry,1215,Western Deradune,noble-quarry-303,14,true,7,datamapping_episode_quest_matched_pending_order_progression_smoke,Tools/DataMapping/output/episode_quest_client_map.csv;Tools/DataMapping/output/quest_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_episodes.sql;wildstar_client_mysql/Episode.tbl.sql;wildstar_client_mysql/EpisodeQuest.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"EpisodeQuest row 4038 links Quest2 3370 order 0 flags 1 to Episode 303 (Noble Quarry) in WorldZone 1215 (Western Deradune); Tools/DataMapping/output/quest_episode_map.csv maps match_status matched to Jabbithole episode 101 (Noble Quarry); slug noble-quarry-303, episode quest count 14, enabled true, last_seen_in 7. The episode bridge is mapped, but retail completion needs runtime episode ordering/progression semantics, quest visibility and turn-in state, UI presentation, and quest-chain smoke for this row."
5943,Scout Jagged Rock,no_objectives,not_retail_complete,current_quest,2567,303,Noble Quarry,1,0,mapped_episode,matched,101,Noble Quarry,Noble Quarry,1215,Western Deradune,noble-quarry-303,14,true,7,datamapping_episode_quest_matched_pending_order_progression_smoke,Tools/DataMapping/output/episode_quest_client_map.csv;Tools/DataMapping/output/quest_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_episodes.sql;wildstar_client_mysql/Episode.tbl.sql;wildstar_client_mysql/EpisodeQuest.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"EpisodeQuest row 2567 links Quest2 5943 order 1 flags 0 to Episode 303 (Noble Quarry) in WorldZone 1215 (Western Deradune); Tools/DataMapping/output/quest_episode_map.csv maps match_status matched to Jabbithole episode 101 (Noble Quarry); slug noble-quarry-303, episode quest count 14, enabled true, last_seen_in 7. The episode bridge is mapped, but retail completion needs runtime episode ordering/progression semantics, quest visibility and turn-in state, UI presentation, and quest-chain smoke for this row."
5606,Soften Them Up,generic_table_driven,not_retail_complete,current_quest,2404,303,Noble Quarry,2,0,mapped_episode,matched,101,Noble Quarry,Noble Quarry,1215,Western Deradune,noble-quarry-303,14,true,7,datamapping_episode_quest_matched_pending_order_progression_smoke,Tools/DataMapping/output/episode_quest_client_map.csv;Tools/DataMapping/output/quest_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_episodes.sql;wildstar_client_mysql/Episode.tbl.sql;wildstar_client_mysql/EpisodeQuest.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"EpisodeQuest row 2404 links Quest2 5606 order 2 flags 0 to Episode 303 (Noble Quarry) in WorldZone 1215 (Western Deradune); Tools/DataMapping/output/quest_episode_map.csv maps match_status matched to Jabbithole episode 101 (Noble Quarry); slug noble-quarry-303, episode quest count 14, enabled true, last_seen_in 7. The episode bridge is mapped, but retail completion needs runtime episode ordering/progression semantics, quest visibility and turn-in state, UI presentation, and quest-chain smoke for this row."
5608,What's Mine is Mine,generic_table_driven,not_retail_complete,current_quest,2406,303,Noble Quarry,3,0,mapped_episode,matched,101,Noble Quarry,Noble Quarry,1215,Western Deradune,noble-quarry-303,14,true,7,datamapping_episode_quest_matched_pending_order_progression_smoke,Tools/DataMapping/output/episode_quest_client_map.csv;Tools/DataMapping/output/quest_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_episodes.sql;wildstar_client_mysql/Episode.tbl.sql;wildstar_client_mysql/EpisodeQuest.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"EpisodeQuest row 2406 links Quest2 5608 order 3 flags 0 to Episode 303 (Noble Quarry) in WorldZone 1215 (Western Deradune); Tools/DataMapping/output/quest_episode_map.csv maps match_status matched to Jabbithole episode 101 (Noble Quarry); slug noble-quarry-303, episode quest count 14, enabled true, last_seen_in 7. The episode bridge is mapped, but retail completion needs runtime episode ordering/progression semantics, quest visibility and turn-in state, UI presentation, and quest-chain smoke for this row."
3162,Communications Blackout,generic_table_driven,not_retail_complete,current_quest,2407,303,Noble Quarry,4,0,mapped_episode,matched,101,Noble Quarry,Noble Quarry,1215,Western Deradune,noble-quarry-303,14,true,7,datamapping_episode_quest_matched_pending_order_progression_smoke,Tools/DataMapping/output/episode_quest_client_map.csv;Tools/DataMapping/output/quest_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_episodes.sql;wildstar_client_mysql/Episode.tbl.sql;wildstar_client_mysql/EpisodeQuest.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"EpisodeQuest row 2407 links Quest2 3162 order 4 flags 0 to Episode 303 (Noble Quarry) in WorldZone 1215 (Western Deradune); Tools/DataMapping/output/quest_episode_map.csv maps match_status matched to Jabbithole episode 101 (Noble Quarry); slug noble-quarry-303, episode quest count 14, enabled true, last_seen_in 7. The episode bridge is mapped, but retail completion needs runtime episode ordering/progression semantics, quest visibility and turn-in state, UI presentation, and quest-chain smoke for this row."
3160,Cornered Prey,generic_table_driven,not_retail_complete,current_quest,2408,303,Noble Quarry,5,0,mapped_episode,matched,101,Noble Quarry,Noble Quarry,1215,Western Deradune,noble-quarry-303,14,true,7,datamapping_episode_quest_matched_pending_order_progression_smoke,Tools/DataMapping/output/episode_quest_client_map.csv;Tools/DataMapping/output/quest_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_episodes.sql;wildstar_client_mysql/Episode.tbl.sql;wildstar_client_mysql/EpisodeQuest.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"EpisodeQuest row 2408 links Quest2 3160 order 5 flags 0 to Episode 303 (Noble Quarry) in WorldZone 1215 (Western Deradune); Tools/DataMapping/output/quest_episode_map.csv maps match_status matched to Jabbithole episode 101 (Noble Quarry); slug noble-quarry-303, episode quest count 14, enabled true, last_seen_in 7. The episode bridge is mapped, but retail completion needs runtime episode ordering/progression semantics, quest visibility and turn-in state, UI presentation, and quest-chain smoke for this row."
5607,Capture the Mercenary,generic_table_driven,not_retail_complete,current_quest,2405,303,Noble Quarry,6,0,mapped_episode,matched,101,Noble Quarry,Noble Quarry,1215,Western Deradune,noble-quarry-303,14,true,7,datamapping_episode_quest_matched_pending_order_progression_smoke,Tools/DataMapping/output/episode_quest_client_map.csv;Tools/DataMapping/output/quest_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_episodes.sql;wildstar_client_mysql/Episode.tbl.sql;wildstar_client_mysql/EpisodeQuest.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"EpisodeQuest row 2405 links Quest2 5607 order 6 flags 0 to Episode 303 (Noble Quarry) in WorldZone 1215 (Western Deradune); Tools/DataMapping/output/quest_episode_map.csv maps match_status matched to Jabbithole episode 101 (Noble Quarry); slug noble-quarry-303, episode quest count 14, enabled true, last_seen_in 7. The episode bridge is mapped, but retail completion needs runtime episode ordering/progression semantics, quest visibility and turn-in state, UI presentation, and quest-chain smoke for this row."
